Original Question,Context,Rewritten Queries with Scores
What past honoree from the New Dramatists Organization is a powerful baritone who won the Tony Award for Best Actor in 2000?,"(New Dramatists): at which actors and producers who have made contributions to American theatre are honored. Brian Stokes Mitchell, Glenn Close, and Meryl Streep are among past honorees.; (Brian Stokes Mitchell): Brian Stokes Mitchell (born October 31, 1957) is an American stage, film and television actor and singer. A powerful baritone, he has been one of the central leading men of the Broadway theatre since the early 1990s. He won the Tony Award for Best Actor in a Musical in 2000 for his performance in ""Kiss Me, Kate"".; (Paulo Szot): Paulo Szot ( ; born July 7, 1969 ) is a Brazilian operatic baritone singer and actor. He made his opera debut in 1997 and his international career has included performances with the Metropolitan Opera. In 2008, he made his Broadway debut as Emile De Becque in a revival of ""South Pacific"", and for his performance in this musical he won the Tony Award for Best Performance by a Leading Actor in a; (Mark Nelson (actor)): Obie, Drama League, Carbonell and San Francisco Critics Awards. He played Herr Schultz in the 2016 national tour of ""Cabaret,"" and acted off-Broadway in ""My Name is Asher Lev"" for which he received a Lortel nomination. Other roles include Shylock in ""The Merchant of Venice"" at The Shakespeare Theater, Uncle Vanya (in Bartlett Sher's production at the Intiman Theatre), Matt in ""Talley's Folly""; (Gordon Dahlquist): of the Arts. He is an alumnus of New Dramatists.","[('1. Which former recipient of an award from the New Dramatists Organization, known for their exceptional vocal talent as a powerful baritone, received the prestigious Tony Award for Best Actor in the year 2000?', 2), ('2. Who is the past honoree of the New Dramatists Organization that has showcased remarkable skill not only as an actor but also as a singer with a powerful baritone voice, and was recognized with the Tony Award for Best Actor in 2000?', 2), ('3. What individual, honored previously by the New Dramatists Organization, possesses a distinctive and powerful baritone singing voice, and is also notable for winning the Tony Award for Best Actor in a performance that took place in the year 2000?', 2), ('4. Which talented actor and singer, recognized with an honor from the New Dramatists Organization, has been celebrated for their commanding stage presence and powerful baritone voice, culminating in a Tony Award win for Best Actor in the year 2000?', 2), ('5. Who among the past awardees of the New Dramatists Organization is distinguished by their powerful baritone singing talent and also holds the distinction of having won the Tony Award for Best Actor, as awarded in the year 2000, reflecting their outstanding contribution to the world of theater?', 2)]"
"What was the population at the 2010 census of the city which, along with Clayton, is covered by the Mount Diablo Unified School District?","(Mount Diablo Unified School District): and Martinez; and unincorporated areas, including Pacheco, Clyde, and Bay Point.; (Rancho Monte del Diablo): the hills, and generally from the Mount Diablo foothills north along Lime Ridge to Avon on the Carquinez Strait of the Sacramento River, and included present day Concord and parts of Pleasant Hill. Pacheco and Clayton are outside of the Rancho Monte del Diablo grant.; (Mount Diablo Unified School District): sites and a budget of approximately $270,000,000. The district has over 36,000 K-12 students, over 20,000 adult education students, and over 3,500 employees, including over 2,000 certificated educators. The district covers 150 sqmi , including the cities of Concord and Clayton; as well as most of Pleasant Hill and portions of Walnut Creek, Pittsburg, Lafayette, and Martinez; and unincorporated; (Northgate High School (Walnut Creek, California)): name derives from its location at the north entrance of Mount Diablo State Park.; (Cottekill, New York): the population was listed at 451. It features a Post Office (12419) and its own fire department. The Brookside School, a private school for children with developmental disabilities is located here as well as the Sustainable Living Resource Center, a project of Sustainable Hudson Valley. SUNY Ulster, a Community College, is nearby in Stone Ridge. There is also the Marbletown-Rosendale Rail Trail,","[('1. What was the population of Concord, California, as reported in the 2010 United States Census, considering it is one of the cities served by the Mount Diablo Unified School District alongside Clayton?', 0), ('2. According to the 2010 census data, what was the total population of the city that, together with Clayton, falls under the jurisdiction of the Mount Diablo Unified School District in California?', 0), ('3. As of the 2010 census, how many residents were recorded in the city that is part of the Mount Diablo Unified School District, which also includes Clayton, providing educational services to both communities?', 1), ('4. In the 2010 United States Census, what population figure was reported for the specific city within the Mount Diablo Unified School District, a district that also covers Clayton and provides public education to students in both areas?', 1), (""5. What were the census-reported population numbers for the year 2010 of the particular city that shares the Mount Diablo Unified School District with Clayton, reflecting the combined educational service area's demographic size at that time?"", 1)]"
"What community in Imperial County, California is partly named after a species of tree that is native to North America, Europe, and western Asia?","(Hesperevax caulescens): be called involucrate evax, since its former Latin name was ""Evax involucrata"". This annual plant is a member of the vernal pool plant community in California, where it is possibly an endemic species, although its range might extend into Baja California. The hogwallow starfish radiates pale green spoon-shaped leaves in a basal rosette and extends a short erect stem. The flowers are less than two; (Cicuta): is native to temperate regions of the Northern Hemisphere, mainly North America and Europe, typically growing in wet meadows, along streambanks and other wet and marshy areas. These plants bear a close resemblance to other members in the family Apiaceae and may be confused with a number of other edible and poisonous plants. The common name hemlock may also be confused with poison hemlock (""Conium; (Abronia pogonantha): Abronia pogonantha is a species of flowering plant in the four o'clock family (Nyctaginaceae) known by the common name Mojave sand-verbena. It is native to California and Nevada, where it grows in the Mojave Desert, adjacent hills and mountains, and parts of the San Joaquin Valley in the Central Valley.; (Abronia turbinata): Abronia turbinata is a species of flowering plant in the four o'clock family known by the common name transmontane sand-verbena. It is native to eastern California and Oregon and western Nevada, where it grows in desert and plateau scrub.; (Pistacia khinjuk): Pistacia khinjuk is a species of plant in the ""Pistacia"" genus which grows in Iran, northern Iraq, southern Jordan and Turkey. The tree grows up to 10 metres.","[('1. Which community located within Imperial County, California, bears a name that is partially derived from a specific tree species indigenous to multiple continents, including North America, Europe, and western Asia?', 0), ('2. In Imperial County, California, what local community has a name that pays homage to a particular native tree species found across various geographical regions, spanning North America, Europe, and parts of western Asia?', 0), ('3. What Imperial County, California, community is identified by a name that references a unique tree species known for its widespread distribution across different continents, including North America, Europe, and western Asia, where it naturally occurs?', 0), ('4. Within the boundaries of Imperial County, California, can you identify a specific community whose partial naming is attributed to a distinct species of tree that has a native range encompassing North America, significant parts of Europe, and certain areas of western Asia?', 1), (""5. In the context of Imperial County, California, what community's name includes a reference to a tree species notable for being native to a broad geographic area that covers North America, substantial portions of Europe, and select regions of western Asia, reflecting its adaptability and widespread presence?"", 0)]"
The Out of Control Tour began in an indoor arena above what?,"(Out of Control Tour): 2009 at Manchester Arena, with the final show on 6 June 2009 in Newcastle's Metro Radio Arena.; (Out of Control: Live from the O2 2009): Out of Control: Live from the O 2009 is a live album by British pop group Girls Aloud. The CD is part of the Out Of Control Live from The O 2009 DVD limited fan edition set, only available on Girls Aloud's official website. The CD was recorded on May 24, 2009 at The O Arena in London while the group was on their Out of Control Tour. The album contains all the songs from the tour, with the; (Out of Control Tour): The Out of Control Tour was the fifth concert tour by British girl group Girls Aloud. It supported their fifth studio album ""Out of Control"". Initially, just ten dates in bigger arenas were announced in November 2008. Due to demand, more dates were added. Girls Aloud performed thirty-two dates across the United Kingdom and Ireland. The tour commenced on 24 April 2009 at Manchester Arena, with the; (Chalkiopoulio Sports Hall): and outside basketball courts. The indoor arena is able to host basketball, volleyball, and handball matches and it is owned by the municipality of Lamia.; (Out of Control: Live from the O2 2009): all the songs from the tour, with the exception of the Megamix that ends the show.","[('1. What was the location of the starting point of the Out of Control Tour, specifically focusing on the type of venue and its geographical positioning relative to other structures?', 0), ('2. In what type of setting or establishment did the Out of Control Tour initially commence, considering both the physical environment and the spatial relationship to surrounding features?', 1), (""3. The Out of Control Tour started in an indoor arena situated above a particular location - what was the nature or identity of this underlying location that supported or was adjacent to the arena's position?"", 0), ('4. At the outset of the Out of Control Tour, the performances took place within an enclosed sports or entertainment venue that was positioned atop another structure - what can be described about this foundational structure or the area it occupied?', 1), (""5. Beginning in a covered stadium or performance space that was elevated relative to its surroundings, the Out of Control Tour's inaugural events were held above a specific kind of location - can you describe or describe the characteristics of this lower-lying area or feature?"", 0)]"
Which New Jersey-based manufacturer of suitcases and bags for travel is located in the Shops at Columbus Circle in New York City?,"(The Shops at Columbus Circle): Pink, J.Crew and Stuart Weitzman. The mall also has several restaurants such as the Michelin 3-star Per Se, Masa (allegedly the most expensive restaurant in New York ), the East Coast flagship of Williams-Sonoma, and a Whole Foods Market. It is owned by The Related Companies.; (The Shops at Columbus Circle): The Shops at Columbus Circle is an urban shopping mall in the Time Warner Center in Manhattan, New York City — a complex of skyscrapers that was completed in 2003. It is located at Columbus Circle, next to the southwestern corner of Central Park. The shopping mall includes Amazon Books, H&M, L'Occitane, Michael Kors, Hugo Boss, Tumi, Coach, Cole Haan, Thomas Pink, J.Crew and Stuart Weitzman. The; (Henri Bendel): Henri Bendel, established in 1895, is an American upscale women's specialty store based in New York City that sells the Henri Bendel brand of handbags, jewelry, luxury fashion accessories, home fragrances and gifts. Its flagship New York store is located at 712 Fifth Avenue.; (2 Columbus Circle): 2 Columbus Circle is a 12-story building located on a small, trapezoidal lot on the south side of Columbus Circle on the Upper West Side of Manhattan, New York City. Bordered by 58th Street, 59th Street, Broadway, and Eighth Avenue, it stands on the site of the seven-story Grand Circle Hotel designed by William H. Cauvet. Opened in 1964 after A&P heir Huntington Hartford hired architect Edward; (Square One Shopping Centre): Walmart, Old Navy, and Forever 21 and to more upscale brands like Salvatore Ferragamo, Holt Renfrew, Michael Kors, Coach, Harry Rosen, Holt Renfrew, Lacoste, and Crate & Barrel. Many mid-level retailers can also be found, including Armani Exchange, Banana Republic, Aldo, Le Chateau, Club Monaco, Guess, Urban Outfitters, Lululemon, Gap, American Eagle, Victoria's Secret, and Zara. On average, the","[('1. What New Jersey-based company, known for producing high-quality luggage and travel accessories, has a retail presence in the prestigious Shops at Columbus Circle in Manhattan, despite being headquartered in New Jersey?', 1), ('2. Which luggage manufacturer, with roots in New Jersey, has expanded its market reach by establishing a storefront in the upscale shopping complex of the Shops at Columbus Circle in New York City, offering its range of suitcases and travel bags to a broader audience?', 1), ('3. In the heart of New York City, within the Shops at Columbus Circle, which renowned manufacturer of travel gear, originating from New Jersey, showcases its products, including durable suitcases and stylish bags designed for travelers?', 1), ('4. What prominent travel accessories brand, founded in New Jersey, has chosen the iconic Shops at Columbus Circle as the location for one of its retail outlets, where customers can explore a wide range of innovative luggage solutions and travel bags?', 1), ('5. Among the various stores located in the Shops at Columbus Circle, New York City, which specific New Jersey-based company is recognized for its expertise in crafting high-quality suitcases and travel bags, catering to the needs of travelers visiting this premier shopping destination?', 1)]"
Which Russian figure skating coach was a former competitive ice dancer who competed with Olga Pershankova in 1993?,"(Nikolai Morozov (figure skater)): Nikolai Alexandrovich Morozov (Russian: Николай Александрович Морозов ; born 17 December 1975) is a Russian figure skating coach and choreographer. He coached Shizuka Arakawa to the 2006 Olympic gold medal and Miki Ando to two World titles. He is a former competitive ice dancer who appeared with Tatiana Navka for Belarus at the 1998 Winter Olympics, placing 16th, and at the 1998 World; (Ekaterina Gvozdkova): Ekaterina Gvozdkova (Russian: Екатерина Гвоздкова ; born August 4, 1981) is a Russian former competitive ice dancer. She won the bronze medal at the 1995 Lysiane Lauret Challenge with Nikolai Morozov. With Timur Alaskhanov, she competed at three Grand Prix events and at the 2001 Winter Universiade. In the 2001–02 season, Gvozdkova/Alaskhanov were coached by Larisa Fedorinova in Moscow. The; (Tatiana Tarasova): Tatiana Anatolyevna Tarasova (Russian:    , born 13 February 1947) is a Russian figure skating coach and national figure skating team adviser. Tarasova has been coach to more world and Olympic champions than any other coach in skating history. Her students have won a total of eight Olympic gold medals in three of the four Olympic figure skating disciplines, in addition to 41 gold medals at the; (Maxim Bolotin): Maxim Bolotin (born 6 August 1982) is a Russian former competitive ice dancer. With Oksana Domnina, he won the bronze medal at the 2002 Russian Junior Figure Skating Championships, placed 7th at the 2002 World Junior Figure Skating Championships, and placed 4th at the 2001–2002 ISU Junior Grand Prix Final. After that partnership ended, he teamed up with Olga Orlova and won additional medals on the; (Ivan Blagov): Frolovna Blagov starred in Moscow on ice for 21 years and is currently a figure skating coach in Moscow.","[('1. What Russian figure skating coach, who previously competed as an ice dancer alongside Olga Pershankova in 1993, is notable for their transition from competitive skating to coaching?', 0), ('2. Who is the former competitive ice dancer that partnered with Olga Pershankova in 1993 and later became a prominent figure skating coach in Russia?', 0), ('3. Can you identify the Russian figure skating coach that had a competitive career as an ice dancer, specifically mentioning their partnership with Olga Pershankova at the 1993 competition?', 0), ('4. Which former Russian competitive ice dancer, known for competing with Olga Pershankova in 1993, has made a successful transition to become a renowned figure skating coach?', 0), ('5. What is the name of the Russian coach who began their career as a competitive ice dancer, including a notable partnership with Olga Pershankova in 1993, before moving on to coach figure skaters?', 0)]"
How long is the river The Atherton Bridge spans?,"(Bjarkøy Fixed Link): km long. The bridge to Grytøya would be 300 m long plus a 900 m long causeway. The project also includes 3 km of road on Grytøya to connect the existing roads to the new undersea tunnel. The Bjarkøy Tunnel will be part of Norwegian County Road 867, while the Sandsøya Bridge will be part of Norwegian County Road 124.; (Atherton Bridge): to be constructed in the town.<ref name=""memory.loc.gov/cgi-bin/query/D?hh:1:./temp/~ammem_Pr5I::"">Historic American Engineering Record</ref> The bridge was added to the National Register of Historic Places in 1979.; (Winfield Toll Bridge): main span 462 feet in length between pier center lines. The main span consists of two 128 feet, 4 inch, cantilever arms and a 205 feet, 4 inch, suspended span.; (Loch Shiel): 4 km River Shiel drains to the sea in Loch Moidart near Castle Tioram.; (Atherton Bridge): The Atherton Bridge is a historic iron truss bridge in Lancaster, Massachusetts, spanning the South Branch of the Nashua River. It is a rare example of a hybrid pony truss that is similar to the 19th century truss design of Simeon S. Post. It was built by J.H. Cofrode & Co. of Philadelphia in 1870. It was the first iron bridge to be constructed in the town.<ref","[('1. What is the total length of the river that the Atherton Bridge crosses, and are there any notable features or sections along this stretch of water?', 0), ('2. Can you provide information on the river spanned by the Atherton Bridge, including its overall length, geographical location, and any significant landmarks or tributaries it may have?', 1), ('3. How long is the section of the river that the Atherton Bridge overlaps, and what are the names of the surrounding areas or towns through which this part of the river flows?', 0), ('4. What are the dimensions and characteristics of the river that the Atherton Bridge traverses, including its length, width, and depth, as well as any notable environmental or recreational features it may possess?', 1), (""5. Along what stretch of the river does the Atherton Bridge extend, and what is the approximate distance from one bank to the other at the point where the bridge is situated, taking into account any variations in the river's course or width?"", 0)]"
Are Rob Parissi and Robert Pollard both musicians,"(Robert Pollard Is Off to Business): Robert Pollard Is Off to Business is 10th studio album released by singer-songwriter Robert Pollard on June 2, 2008. This is the first LP release from Robert Pollard's new record label ""Guided by Voices Inc"". All instrumentation on the album was performed by producer Todd Tobias. Many of the songs on the album were over three minutes in length, which is unusual for a Pollard release.; (Choreographed Man of War): Choreographed Man of War is an album by Robert Pollard and the Soft Rock Renegades, released in 2001. The album features Robert Pollard (vocals, guitar), Greg Demos (bass), and Jim Macpherson (drums).; (The Crawling Distance): The Crawling Distance is 11th studio album released by singer-songwriter Robert Pollard on January 20, 2009. Similar to many of Pollard's releases since ""Fiction Man"" in 2004, all instrumentation on the album was performed by producer Todd Tobias. ""The Crawling Distance"" has a 64/100 score on metacritic and thus was Pollard's lowest rated album on the site, until 2011's ""Space City Kicks"" which; (Kid Marine): Kid Marine is 3rd album by Robert Pollard, released in 1999. It is the first release of Robert Pollard's Fading Captain Series. Pollard has stated that the album is about Jeff ""Kid Marine"" Davis, the person pictured on the cover . Robert told Mojo magazine, ""My personal favorite, a weird record, almost a concept album, about the typical Ohio male and what he does - drink, watch television, eat; (Elephant Jokes): Elephant Jokes is the 12th studio album released by singer-songwriter Robert Pollard on August 11, 2009, and the 8th full-length album to be released by Pollard (along with several EP's and singles) since the break-up of his band Guided by Voices in 2004. Unlike recent Pollard albums, Todd Tobias does not play all the instruments on ""Elephant Jokes"", as Pollard plays some guitar on this album.","[('1. What are the musical contributions and backgrounds of Rob Parissi and Robert Pollard, and how do their careers intersect or differ within the music industry?', 0), ('2. Can it be confirmed that both Rob Parissi, known for his work with the band Wild Cherry, and Robert Pollard, associated with Guided by Voices, are indeed active musicians with notable discographies?', 0), ('3. How do the genres and styles of music created by Rob Parissi and Robert Pollard compare, considering their individual influences and the periods during which they were most active in the music scene?', 2), (""4. What roles have Rob Parissi and Robert Pollard played in shaping their respective bands' sounds and successes, and are there any notable collaborations or projects outside of their primary musical endeavors?"", 1), ('5. Are there any significant awards, recognitions, or legacy impacts that Rob Parissi and Robert Pollard have achieved throughout their careers as musicians, contributing to the broader landscape of American rock music?', 0)]"
The Grosvenor Museum takes its name from the family name of a title currently held by whom?,"(Gerald Grosvenor, 6th Duke of Westminster): Major General Gerald Cavendish Grosvenor, 6th Duke of Westminster, (22 December 1951 – 9 August 2016) was a British landowner, businessman, philanthropist, Territorial Army general and hereditary peer. He was the son of Robert George Grosvenor, 5th Duke of Westminster and Viola Grosvenor. He was Chairman of the property company Grosvenor Group. He is succeeded by his son, Hugh Grosvenor, 7th Duke; (Gerald Grosvenor, 6th Duke of Westminster): by his son, Hugh Grosvenor, 7th Duke of Westminster.; (Baron Howard of Glossop): Baron Howard of Glossop, in the County of Derby, is a title in the Peerage of the United Kingdom, since 1975 a subsidiary title of the dukedom of Norfolk. It was created in 1869 for the Liberal politician Lord Edward Howard, the second son of Henry Fitzalan-Howard, 13th Duke of Norfolk. His grandson, the third Baron (who succeeded his father), married Mona Stapleton, 11th Baroness Beaumont. Their; (Baron Cottesloe): licence, which authorized him and his successors to use the title in Britain. However, a warrant issued on 27 April 1932 withdrew all the royal licences, only allowing the use of the title to the then current holders, their heir (if any was born) and their heir's heir (if any was born). Nowadays, John Fremantle, 5th Baron Cottesloe is the current holder of this title, and his son Hon. Thomas; (Baron Cottesloe): of this title, and his son Hon. Thomas Henry Fremantle, heir to the Cottesloe Barony, will be the last future holder being allowed to use the Austrian title in the United Kingdom.","[(""1. What is the origin of the Grosvenor Museum's name, and which individual or family currently holds the title associated with this name?"", 2), ('2. Who presently holds the title that has been inherited from the Grosvenor family, after which the Grosvenor Museum is named?', 2), (""3. The Grosvenor Museum derives its name from a British noble family; which contemporary figure bears the title linked to this family's surname?"", 2), ('4. Which member of the aristocracy currently possesses the title connected to the Grosvenor family, thereby lending their name to the museum in question?', 3), ('5. From whom does the Grosvenor Museum take its name, specifically in terms of the current holder of the hereditary title that shares the same family name?', 3)]"
who released the 2012 record of red?,"(Fitz and The Tantrums): percussion). Their debut studio album, ""Pickin' Up the Pieces"", was released in August 2010 on indie label Dangerbird Records and received critical acclaim. It reached No. 1 on the ""Billboard"" Heatseekers chart. The band signed to their current label Elektra Records in early 2013 and went on to release their sophomore LP, ""More Than Just a Dream,"" on May 7, 2013. Their self-titled third album was; (Gabrielle Aplin discography): a more folk rock sound and playing all instruments herself. In April 2011, Aplin was invited to perform for ""BBC Introducing"" at Maida Vale Studios, where she played 3 tracks from ""Never Fade"" and a cover of the Coldplay song ""Fix You"". Aplin released her third EP, ""Home"", on 9 January 2012. On 29 February 2012, Aplin announced that she had signed to Parlophone. Aplin was confirmed as the; (Beautiful Eulogy): and eclectic sound, the group melds myriad styles of hip hop with genres such as folk, electronic, hymn tunes, and modern worship music. After contributing a song to the charity compilation ""King Kulture"" and making a guest appearance on Lecrae's ""Church Clothes"", the band released its debut album, ""Satellite Kite"", on June 19, 2012. A second album, ""Instruments of Mercy"", came out on October 29,; (Chapter II (Benga album)): Chapter II is the third studio album by British record producer Benga. The album was released on 6 May 2013 through Sony Music. It entered the UK Albums Chart at number 93.; (Jeffree Star discography): new music on tour. ""Mr. Diva"" was also released as a limited edition vinyl record with ""Legs Up"" being the B-side track; it was a red heart shape with 500 copies printed. Star released his single ""Love to My Cobain"" on June 25, 2013 with the music video being released August 15.","[('1. Which artist or band was responsible for releasing the music album ""Red"" in the year 2012, and what genre of music does it belong to?', 4), ('2. What musical group or solo performer launched their album titled ""Red"" into the market in 2012, and how did it impact the music industry at that time?', 5), ('3. In the context of the music world, who was the creator behind the successful 2012 album release ""Red"", and what were some of the notable tracks featured on this record?', 0), ('4. Who was the primary musician or ensemble that brought out the album ""Red"" in 2012, and how did this release contribute to their overall discography and musical legacy?', 0), ('5. Which singer-songwriter or music collective released their highly anticipated album ""Red"" in 2012, marking a significant milestone in their career, and what were some of the critical reviews and fan reactions to this album at the time of its release?', 0)]"
